Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Cars Parked on Sidewalk/Street,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,Billing Dispute,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Dealer - Used,False Advertising,Yes,Business,2,2,consumer complaint car dealer - used,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Rental,False Advertising,Yes,Business,2,2,consumer complaint car rental,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Rental,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint car rental,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Rental,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint car rental,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Rental,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint car rental,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Rental,Overcharge,Yes,Business,2,2,consumer complaint car rental,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,Overcharge,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,Price Not Posted,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,Receipt Incomplete/Not Given,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,Unlicensed,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,False Advertising,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Car Wash,Labor Violation,Yes,Business,2,2,consumer complaint car wash,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Cell Phone Store,False Advertising,Yes,Business,2,2,consumer complaint cell phone store,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Cell Phone Store,Contract Dispute,Yes,Business,2,2,consumer complaint cell phone store,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Debt Collection Agency,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint debt collection agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Debt Collection Agency,Billing Dispute,Yes,Business,2,2,consumer complaint debt collection agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Debt Collection Agency,False Advertising,Yes,Business,2,2,consumer complaint debt collection agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Debt Collection Agency,Harassment,Yes,Business,2,2,consumer complaint debt collection agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Debt Collection Agency,Unlicensed,Yes,Business,2,2,consumer complaint debt collection agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Debt Collection Agency,Overcharge,Yes,Business,2,2,consumer complaint debt collection agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Disabled Device Dealer,Overcharge,Yes,Business,2,2,consumer complaint disabled device dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Disabled Device Dealer,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint disabled device dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Disabled Device Dealer,Unlicensed,Yes,Business,2,2,consumer complaint disabled device dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Disabled Device Dealer,False Advertising,Yes,Business,2,2,consumer complaint disabled device dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Disabled Device Dealer,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint disabled device dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Disabled Device Dealer,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint disabled device dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Domestic Employee,Advance Fee,Yes,Business,2,2,consumer complaint domestic employee,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Domestic Employee,No Statement of Job Conditions,Yes,Business,2,2,consumer complaint domestic employee,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Domestic Employee,No Bill of Rights,Yes,Business,2,2,consumer complaint domestic employee,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Door to Door Sales,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint door to door sales,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Door to Door Sales,Overcharge,Yes,Business,2,2,consumer complaint door to door sales,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Door to Door Sales,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint door to door sales,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Door to Door Sales,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint door to door sales,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Door to Door Sales,False Advertising,Yes,Business,2,2,consumer complaint door to door sales,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Gender Pricing,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Closed without Notice,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Clothing Damage,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Overcharge,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Dry Cleaner,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint dry cleaner,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Overcharge,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Sales Promotion,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Unlicensed,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Closed without Notice,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Damaged/Defective Parts,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Extra Parts,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Repair Store,False Advertising,Yes,Business,2,2,consumer complaint electronics repair store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,False Advertising,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Layaway Terms Not Provided,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Door Open with Air Conditioning On,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Unlicensed,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Price Not Posted,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Receipt Incomplete/Not Given,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Required Signage Not Posted,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Overcharge,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Electronics Store,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint electronics store,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Employment Agency,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint employment agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Employment Agency,Overcharge,Yes,Business,2,2,consumer complaint employment agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Employment Agency,Paid in Advance,Yes,Business,2,2,consumer complaint employment agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Employment Agency,Unlicensed,Yes,Business,2,2,consumer complaint employment agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Employment Agency,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint employment agency,Taxi and Limousine Commission
